_id,search_text,link,comp_name,address,from_google,from_website,from_dnb,from_oc,from_avention
5eb6603b6e69c6f2e1092cf8,gotoassignmenthelp austraila,https://www.gotoassignmenthelp.com/,gotoassignmenthelp austraila,None,None,None,None,None,None
5eb661a6796445df9bfd756d,www.governanceinstitute.com.au,https://web.governanceinstitute.com.au/home/,Governance Institute of Australia,"Level  10 , 5 Hunter Street, Sydney NSW 2000",None,"['Level  10 , 5 Hunter Street, Sydney NSW 2000', 'Level  7 500 Collins Street MELBOURNE VIC 3000', 'Level  10 5 Hunter Street SYDNEY NSW 2000', '8 Victoria Avenue PERTH WA 6000', 'Level  8 100 Creek Street BRISBANE QLD 4000', '1594 , Sydney, NSW 2001']","['L 10 5 Hunter St Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.governance_institute_of_australia_ltd.8ddba7b07e8448aadcb823b40d454092.html']",None,"['L 10 5 Hunter St Sydney, New South Wales, 2000 Australia (Primary Address) Show Secondary', '/company/e024612c-ecf9-3b6c-a5f7-3879a6fa2b1c']"
5eb6631b245b7e033d0f92ed,www.gradchat.com,http://www.gradchat.com/,Gradchat,None,None,None,None,None,None
5eb66401b0e60a643fae0467,Gradconnection austraila,https://au.gradconnection.com/,Gradconnection austraila,"500 "",""company_address"":""800 Toorak Rd, Hawthorn East VIC 3123","['11 York St, Sydney NSW 2000, Australia', ['GradConnection, address', 'knowledge_panel']]","['500 "",""company_address"":""800 Toorak Rd, Hawthorn East VIC 3123', '10 u002F110 Caroline Street, South Yarra. VIC 3141', 'Level  2 , 11 York Street Wynyard, Sydney 2000', '100 -"",""company_address"":""Level 6, 10 Help Street Chatswood NSW 2067']",None,None,None
5eb6651284c93e9e1b685024,www.growingup.co.nz/,http://www.growingup.co.nz/en.html,Growing Up in New Zealand,3 Waikato 1052,None,['3 Waikato 1052'],"['101 Williamson Avenue Grey Lynn Auckland,, AUCKLAND, 1021 New Zealand', 'https://www.dnb.com/business-directory/company-profiles.grow_up_magazine_limited.92aaf7d782bc7c46f988d27b1a36b7de.html']",None,None
5eb66682dc99a524418da337,Guiix austraila,https://my.fsf.org/civicrm/contribute/transact?reset=1&id=50,Guiix austraila,"14 Paradise Place Surfers Paradise, QUEENSLAND, 4217 Australia",None,None,"['14 Paradise Place Surfers Paradise, QUEENSLAND, 4217 Australia', 'https://www.dnb.com/business-directory/company-profiles.guiix_pty_ltd.3dca3cfd86b706d5.html']",None,None
5eb667a554cc6bc47dbfea44,www.heropa.com,https://www.heropa.com/,Heropa,"Level 26/1 Bligh St, Sydney NSW 2000","['Level 26/1 Bligh St, Sydney NSW 2000, Australia', ['Heropa, address', 'knowledge_panel']]","['Level 26/1 Bligh St, Sydney NSW 2000']",None,None,"['L 26 1-7 Bligh Street Sydney, New South Wales, 2000 Australia', '/company/c48f4693-6d27-3bab-8925-07b490b570cd']"
5eb6688cf9acda3a876322e4,www.humanedge.biz/,https://www.humanedge.biz/,Human Edge Software Corp,427 City Road   South Melbourne VIC 3205,None,"['427 City Road   South Melbourne VIC 3205', '88 Creek St Brisbane 4000']",None,None,None
5eb669883e6dc49bd6f1540f,Ignia austraila,https://www.signia-hearing.com.au/,Ignia austraila,"Level  4 , 11 Finchley Street Milton, QLD 4064 Australia",None,"['Level  4 , 11 Finchley Street Milton, QLD 4064 Australia']",None,None,None
5eb66a9b90f9dd06f1107866,Jibb austraila,http://jibbfoundation.org.au/,Jibb austraila,Level  30 9 Castlereagh Street Sydney NSW 2000  GPO Box 1462 Sydney NSW 2001,"['7/27-29 Dover Dr, Burleigh Heads QLD 4220, Australia', ['ASRF, address', 'knowledge_panel']]",['Level  30 9 Castlereagh Street Sydney NSW 2000  GPO Box 1462 Sydney NSW 2001'],None,None,None
