_id,search_text,link,comp_name,contact_person,from_website,from_google,from_crunchbase,from_dnb,from_oc,from_owler,from_oc_agent,from_li,cb_link
5eb6820dcc1fecfea5009f48,myndlyte.com/,https://www.crunchbase.com/organization/myndlyte,MyndLyte,"[' Dave Spicer, Samir Bhana', 'founder(s)']",None,None,"[' Dave Spicer, Samir Bhana', 'founder(s)']",None,None,None,None,"[['Olivia Jackson ', 'Fortitude Valley BC_ Queensland ..._LinkedIn'], ['Samir Bhana ', 'Founder_Pickmee'], ['Gemma Boase ', 'Category Manager_OneHarvest'], ['Anu Cuckemane Ravindranath ', 'Software Engineer ..._LinkedIn'], ['Timothy Widawski ', 'Customer Experience ..._LinkedIn'], ['Khwezi Nkwanyana ', 'Broadcaster_Radio4EB'], ['Henry Baulch ', 'Graphic Designer_Wilson Fishing'], ['Pedro Veloso ', 'Senior Software Engineer (Leading ..._LinkedIn']]",https://www.crunchbase.com/organization/myndlyte
5eb682ecd810c81378eb806d,nationalmusicacademy.com.au/,https://www.nationalmusicacademy.com.au/,National Music Academy,"['Gianni Michelini', 'Founder & CEO']","['Gianni Michelini', 'Founder & CEO']","['Paul Saintilan', 'CEO']",None,None,None,"['Tanuja Gomes', 'CEO']",None,"[['Zainab Ali ', 'Marketing Manager_National Music Academy ...'], ['Rachel Maria Cox ', 'Assistant Manager_National ...'], ['National Music Academy Pakistan ', 'Instructor of ..._LinkedIn'], ['Borislava Taneva ', 'National music academy Sofia_LinkedIn'], ['National Music Academy Pakistan ', 'Instructor of ..._LinkedIn'], ['Brooke Lidbury ', 'Vocal Coach_National Music Academy ...'], ['Philip Pogson FAICD ', 'Director_Richard Gill ...'], ['Gianni Michelini ', 'Managing Director_Studios 301'], ['Emad Rashad ', 'National Music Academy_LinkedIn']]",https://www.crunchbase.com/organization/national-music-academy
5eb68405b8f3f1e1b3084a52,nativetongue.com,http://www.nativetongue.com/,Native Tongue,"['Chris Gough', 'Managing_Director']",None,"['Chris Gough', 'Managing_Director']","[' James Drucza, Kym Huynh, Matthew Ho', 'founder(s)']","[['CHELSEA JADE GOUGH', 'Director'], ['JAIME AVION GOUGH', 'Director'], ['CHRISTOPHER REX GOUGH', 'Director'], ['CHRISTOPHER REX GOUGH', 'Secretary']]","[['William CHUNG', ' director']]",None,None,"[['Jaime Gough ', 'Managing Director_Native Tongue ...'], ['Jesse Ruiz ', 'Director_Native Tongue ...'], ['Chris Gough ', 'Founder_Native Tongue Music ...'], ['Marissa Nance ', 'Founder and CEO_Native Tongue ...'], ['David Nash ', 'Native Tongue Music Publishing Pty Ltd_LinkedIn'], ['Kate Mills ', 'Head of Licensing_Native Tongue ...'], ['Matt Tanner ', 'Native Tongue Music Publishing Pty Ltd_LinkedIn'], ['Chelsea Gough ', 'Head Of Finance And ..._LinkedIn'], ['Paul McLaney ', 'Writer Relations Manager_NZ ...']]",https://www.crunchbase.com/organization/native-tongue
5eb6853a626f824ef428e315,www.netspot.com.au,https://www.netspotapp.com/,NetSpot,"['Minyar Gadaldinho ', 'Manager_Netspot Technologies']",None,None,None,None,None,None,None,"[['Minyar Gadaldinho ', 'Manager_Netspot Technologies'], ['Kate Lysevych ', 'Product Manager_Etwok LLC'], ['Alex Millard ', 'NETSPOT Account Manager_ West ..._LinkedIn'], ['Philip Marriott ', 'Project Manager_NetSpot Pty Ltd'], ['Beth Longton ', 'NETSPOT_Account Manager_ East ...'], ['Allan Christie ', 'Professional Experience Collector ..._LinkedIn'], ['Ryan Brown ', 'Marketing_NetSpot'], ['Josh Carroll ', 'Oncology Market Access Manager ..._LinkedIn'], ['Abayomi Okemakinde ', 'Managing Owner_NetSpot ...'], ['Rebecca Andary ', 'Teacher_Pedare Christian College']]",https://www.crunchbase.com/organization/netspot
5eb688a782ee2ac4699515f2,www.newcomb.co.nz/,https://www.newcomb.co.nz/portfolio-category/print-design/,Newcomb Digital,"['Christopher Antony DAWES', ' director']",None,None,None,None,"[['Christopher Antony DAWES', ' director']]",None,None,"[['Kelly Newcomb ', 'Digital Marketing Specialist ..._LinkedIn'], ['Mark Newcomb ', 'Boss man_Retired'], ['MIKE SPARKE ', 'Sales Manager_Neville Newcomb'], ['Crista Newcomb ', 'Digital Marketing and ..._LinkedIn'], ['Steven Kemp ', 'Managing Director_Jenrite NZ Limited'], ['Stephanie Newcomb ', 'Digital Marketing Content ..._LinkedIn'], ['Randall Newcomb ', 'Digital Marketing Consultant ..._LinkedIn'], ['Fred Soar ', 'Managing Director_Soar Print']]",https://www.crunchbase.com/organization/newcomb-digital
5eb689814e048265dd507dbc,www.omnium.net.au,http://www.omnium.net.au/,Omnium,"[' Rick Bennett', 'founder(s)']",None,None,"[' Rick Bennett', 'founder(s)']",None,None,None,None,"[['Médhi LOTHODE ', 'Industrial Programs Manager ..._LinkedIn'], ['Thibault Maertens ', 'Plastic Omnium_LinkedIn'], ['Siva Sampath ', 'Project & Sales Manager_Plastic Omnium ...'], ['Phil Townsend ', 'Manufacturing Project Manager ..._LinkedIn'], ['Yves Teplik ', 'Manufacturing Engineering Manager ..._LinkedIn'], ['Curtis Shaw ', 'Manufacturing Manager_Plastic Omnium ...'], ['Isabel Astorga ', 'Logistics Manager_Plastic Omnium'], ['Daniel Kovacs ', 'Program Purchasing Manager ..._LinkedIn'], ['Richard Taylor ', 'Supply Chain Manager_Plastic Omnium ...'], ['Nicolas Francois ', 'UK Operations Director_Plastic Omnium ...']]",https://www.crunchbase.com/organization/omnium
5eb68a771a268ae85ef97960,openlearning.com,https://www.openlearning.com/,OpenLearning,"['Adam Brimo', 'CEO']",None,"['Adam Brimo', 'CEO']","[' Adam Brimo, David Collien, Richard Buckland', 'founder(s)']",None,None,"['Adam Brimo', 'CEO']",None,"[['Adam Brimo ', 'OpenLearning Limited (ASX:OLL)_LinkedIn'], ['Sophea Seng ', 'Senior Operations Manager_OpenLearning ...'], ['Margo Griffith ', 'Partnerships Manager_OpenLearning Global ...'], ['David Collien ', 'CTO_OpenLearning.com'], ['Sarveen Kandiah ', 'Managing Director_ Malaysia ..._LinkedIn'], ['Kaolin McEvoy ', 'Product Manager_OpenLearning ...'], ['Cherie Diaz ', 'Managing Director Australia_OpenLearning ...'], ['Robert Vick ', 'Business Development Manager ..._LinkedIn'], ['Le Trinh (Kate) ', 'Product Manager_OpenLearning ...']]",https://www.crunchbase.com/organization/open-learning
5eb68b52298db2bd4cebdd0e,openstem.com.au/,https://openstem.com.au/programs,OpenSTEM Pty Ltd,"[' Arjen Lentz, Claire Reeler', 'founder(s)']",None,None,"[' Arjen Lentz, Claire Reeler', 'founder(s)']",None,None,None,None,"[['Arjen Lentz ', 'Chief Information Security Officer ..._LinkedIn']]",https://www.crunchbase.com/organization/openstem
5eb68c65501e64174bede873,www.paddl.com,https://www.paddl.com/,Paddl Co.,"['Dominique Fisher', 'Co-Founder | CEO']","['Dominique Fisher', 'Co-Founder | CEO']","['Dominique Fisher - Co', 'CEO']","[' Dominique Fisher, John Collins', 'founder(s)']",None,None,"['Michale S. Rose', 'CEO']",None,"[['Dominique Fisher ', 'Co_Founder'], ['Caitlin Pereira ', 'Cranbrook Schools_Melbourne ...'], ['Nicole Pogue ', 'VP Operations & Company ..._LinkedIn'], ['Jade Pearce ', 'Project Lead_Paddl Co.']]",https://www.crunchbase.com/organization/paddl
5eb68d458e708541f4671189,pallasals.com/,https://www.crunchbase.com/organization/pallas-als,Pallas ALS,"[' Michael Jacobson', 'founder(s)']",None,None,"[' Michael Jacobson', 'founder(s)']",None,None,"['Paul Scurrah', 'CEO']",None,"[['Lucas Klok ', 'Hoogezand_ Provincie Groningen ..._LinkedIn']]",https://www.crunchbase.com/organization/pallas-als
5eb68e2fab2ce0451e2b4056,programminghomeworktutors.com/index.php,https://programminghomeworktutors.com/,ProgrammingHomeworkTutors,"['Alan Joyce', 'CEO']",None,"['Alan Joyce', 'CEO']",None,None,None,None,None,None,https://www.crunchbase.com/organization/programminghomeworktutors
5eb68edce0b5b75b05fba1e6,www.prospereducation.com/,https://www.prospereducation.com/,Prosper Education,"['Martin Beeche', 'CEO']",None,"['Martin Beeche', 'CEO']","[' Martin Beeche', 'founder(s)']",None,None,"['Martin Beeche', 'CEO']",None,"[['Genevieve Gilmore ', 'Prosper Education Limited_LinkedIn'], ['David Scott ', 'Prosper Education Limited_LinkedIn'], ['Naved Saigal ', 'Chairman & Managing Director ..._LinkedIn'], ['Martin Beeche ', 'Advisor_Pilot Light Consulting'], ['Elizabeth Johnston ', 'Executive Director_Prosper Education ...'], ['Daniel Khoury ', 'Product Manager_Prosper Education Limited ...'], ['Prosper Overseas ', 'Naved Saigal_Prosper Overseas'], ['James L Guan ', 'Freelance Consultant_Zhizheng ...']]",https://www.crunchbase.com/organization/prosper-education
5eb690038f7f6e26b6253fd5,www.realfirstaid.com.au,http://www.realfirstaid.com.au/,Real First Aid,"['Shannon Anderson - Chief', 'CEO']",None,"['Shannon Anderson - Chief', 'CEO']",None,None,"[['David Ronald FLEMING', ' director']]",None,None,"[['Adam Gent ', 'Director_Real First Aid Ltd'], ['Jessica Ross ', 'Office Manager_Real First Aid'], ['Brett Marais ', 'Head of Tactical Medicine_Real ...'], ['Jock McGowan ', 'Chief Executive Officer ..._LinkedIn'], ['Tony Libregts ', 'CPR_First Aid Courses ...'], ['Louise Ansell ', 'Director_ Performance & Wellbeing ..._LinkedIn'], ['David Gray ', 'Manager_Grays Medic']]",https://www.crunchbase.com/organization/real-first-aid
5eb690bd8d99ac316303ffb6,rockmelon.com/,https://rockmelon.com/,Rockmelon,"['Alexander André de la Porte', 'Founder']","['Alexander André de la Porte', 'Founder']",None,"[' Alex Andre de la Porte, Nicole Rogerson, Stuart Waite', 'founder(s)']",None,"[['Michael William SCOTT', ' director']]",None,None,"[['Harsha Prateek ', 'Business head/partner_Rockmelon'], ['Michelle Lacey ', 'Commercial Director_Rockmelon'], ['Melanie Keys ', 'Owner and designer_Rockmelon xo'], ['Bhaskar Kumar ', 'Partner_RockMelon'], ['Stuart Waite ', 'Managing Partner_Exit Velocity'], ['Spreeha Rai ', 'Performance Media Manager_NMPi'], ['Icarus Lima ', 'Head of Technology & UX_Panthera ...'], ['Gary Donovan ', 'Lead Platform Engineer_Oovvuu'], ['Nicole Rogerson ', 'Director_Neurodevelopment ...']]",https://www.crunchbase.com/organization/rockmelon
5eb6918fa2e66438837c2d83,schoolofmusiconline.com/,https://m.youtube.com/user/schoolofmusiconline,School of Music Online,"[' Dave Spicer, Samir Bhana', 'founder(s)']",None,None,"[' Dave Spicer, Samir Bhana', 'founder(s)']",None,None,"['Taylor Robinson', 'CEO']",None,"[['Raj Mann ', 'Senior Technical Business Analyst ..._LinkedIn'], ['Xavier Motin ', 'Berklee School of Music Online ..._LinkedIn'], ['Raj Mann ', 'Senior Technical Business Analyst ..._LinkedIn'], ['Nicolas Musumeci ', 'Content Manager_FilmBunker'], ['Gigi Rich ', 'Berklee School of Music Online_Los ...'], ['Sonja Denda ', ""Research Assistant at the CAMD's ..._LinkedIn""], ['David Bendeth ', 'Music Producer_ Mixer_ Writer ..._LinkedIn'], ['Patricia Butler ', 'CEO_ArtistWorks Inc.'], ['Olivia Jackson ', 'Fortitude Valley BC_ Queensland ..._LinkedIn'], ['Mark Smith ', 'Marketing & Product General Manager ..._LinkedIn']]",https://www.crunchbase.com/organization/school-of-music-online
5eb6925a31a5f94e1207b916,www.schoolzine.com/,https://www.schoolzine.com/,Schoolzine,"['Phil Reardon', 'Founder & CEO']","['Phil Reardon', 'Founder & CEO']","['Phil Reardon', 'CEO']",None,"[['Philip REARDON', 'Director']]",None,None,None,"[['Nick Aitkin ', 'Operations Manager_Schoolzine'], ['Emily Halderthay ', 'Director_Schoolzine UK'], ['Phil Reardon ', 'Founder & CEO_Schoolzine'], ['Liane Crompton ', 'School Partnership Manager_Schoolzine ...'], ['\ufeffDion\ufeff\ufeff Guthrie\ufeff\ufeff ', 'CMO_Schoolzine'], ['Aimee Hutchinson ', 'Account Manager_Schoolzine'], ['Vicki Smith ', 'Advertising & Sales Account Manager ..._LinkedIn']]",https://www.crunchbase.com/organization/schoolzine
5eb6944565d7b2466379f198,www.secureassignmenthelp.com/,http://www.secureassignmenthelp.com/,Secure Assignment Help,"['Alyssa Patterson ', 'Writer_Secure Assignment Help']",None,None,None,None,None,None,None,"[['Alyssa Patterson ', 'Writer_Secure Assignment Help'], ['Ankita Das ', 'Senior Executive_Pinnacle Infotech']]",https://www.crunchbase.com/organization/secure-assignment-help
5eb694f59c10ae1d407b7c2a,www.skillsoz.com.au/,https://www.crunchbase.com/organization/skills-oz,Skills Oz,"['Bob Taylor - CEO', 'CEO']",None,"['Bob Taylor - CEO', 'CEO']",None,None,None,None,None,"[['Oz Jabur ', 'Head of Product and Innovation ..._LinkedIn'], ['Oz Yona ', 'Store Manager_Tommy Hilfiger'], ['Oz Pressler ', 'EW Projects Manager_Israeli Navy'], ['Oz Ardazi ', 'Security PS Manager_CA Technologies'], ['Oz Ben', 'David_Full Stack Developer'], ['Viviana Croker ', 'Project Officer_E'], ['Oz Tal ', 'Testing Engineering_Airspan Networks']]",https://www.crunchbase.com/organization/skills-oz
5eb695e1ffe996bbe09292fe,activebabiessmartkids.com.au,https://activebabiessmartkids.com.au/,Smart Kids Video,"['Greg Estell', 'CEO']",None,None,None,None,None,"['Greg Estell', 'CEO']",None,None,https://www.crunchbase.com/organization/smart-kids-video
5eb696f6ef36438bec383b7e,www.soccerbrain.com/,https://www.crunchbase.com/organization/soccerbrain,SoccerBrain,"[' Aron Day', 'founder(s)']",None,None,"[' Aron Day', 'founder(s)']",None,None,None,None,"[['Johnny Phillips ', 'Consultant_Soccerbrain Consulting'], ['Aron Day ', 'Founder_SoccerBrain'], ['Jade Irving ', 'Founder_Fighters Link'], ['Aron Day ', 'Director_daylight enterprises'], ['Paul Ryan ', 'Founder_Valaar'], ['Michael Jewitt ', 'Founder_Virtual Reality Rooms'], ['Alicia Axnick ', 'Marketing Manager_Platinum ...'], ['Julie Isbill ', 'Doctor_Anaesthetics Registrar']]",https://www.crunchbase.com/organization/soccerbrain
5eb697cac579ca076779cb0f,codelikeagirl.org/,https://codelikeagirl.org/,Code Like a Girl,"['Ally Watson', 'CEO']",None,"['Ally Watson', 'CEO']",None,None,None,None,None,"[['Vanessa Doake ', 'Melbourne_ Victoria_ Australia ..._LinkedIn'], ['Josephine Colson ', 'Code Like a Girl_LinkedIn']]",https://www.crunchbase.com/organization/code-like-a-girl
